日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度)
20200826,39623,35827,3796,10.6,372.356,342.418
20200827,39652,35107,4545,12.95,362.279,333.15
20200828,39394,35122,4272,12.16,359.133,330.257
20200829,35312,31138,4174,13.4,336.531,309.473
20200830,34763,30677,4086,13.32,326.306,300.069
20200831,39916,35197,4719,13.41,357.894,329.119
20200901,39898,35420,4478,12.64,383.771,369.066
20200902,40360,36492,3868,10.6,394.351,379.24
20200903,40285,35474,4811,13.56,387.89,373.026
20200904,40850,35980,4870,13.54,385.407,370.639
20200905,34680,30758,3922,12.75,349.952,336.542
20200906,31794,27921,3873,13.87,318.214,306.021
20200907,38299,33937,4362,12.85,358.541,344.803
20200908,39289,35134,4155,11.83,381.313,366.701
20200909,39546,35370,4176,11.81,384.185,369.464
20200910,39693,35438,4255,12.01,384.465,369.733
20200911,39682,35598,4084,11.47,383.295,368.607
20200912,34694,31311,3383,10.8,354.311,340.735
20200913,33054,30030,3024,10.07,332.81,320.058
20200914,39358,35640,3718,10.43,379.183,364.653
20200915,40037,36312,3725,10.26,390.733,375.76
20200916,40254,36521,3733,10.22,394.456,379.341
20200917,40570,36846,3724,10.11,398.272,383.011
20200918,40622,36893,3729,10.11,396.819,381.613
20200919,35803,32486,3317,10.21,364.619,350.648
20200920,33402,29517,3885,13.16,336.463,323.57
20200921,38959,34397,4562,13.26,367.007,352.943
20200922,39362,34237,5125,14.97,368.721,354.592
20200923,39461,34689,4772,13.76,371.842,357.594
20200924,38959,33525,5434,16.21,366.113,352.083
20200925,37286,32012,5274,16.48,352.631,339.119
20200926,35642,31095,4547,14.62,340.662,327.609
20200927,31297,26808,4489,16.75,303.48,291.85
20200928,35668,31113,4555,14.64,337.096,324.178
20200929,36005,31746,4259,13.42,346.193,332.927
20200930,36008,30723,5285,17.2,336.989,324.075
20201001,31043,26398,4645,17.6,321.699,274.61
20201002,30535,27075,3460,12.78,321.406,274.36
20201003,30966,27548,3418,12.41,327.144,279.258
20201004,31872,28281,3591,12.7,331.756,283.194
20201005,37047,32508,4539,13.96,369.536,315.444
20201006,36139,31900,4239,13.29,366.956,313.241
20201007,35407,31307,4100,13.1,361.379,308.48
20201008,35531,30813,4718,15.31,358.248,305.808
20201009,31793,27483,4310,15.68,329.94,281.643
20201010,30682,27387,3295,12.03,321.67,274.585
20201011,30519,27431,3088,11.26,319.611,272.827
20201012,36424,33063,3361,10.17,371.076,316.759
20201013,36854,33389,3465,10.38,381.321,325.504
20201014,36790,32798,3992,12.17,378.803,323.355
20201015,36608,32682,3926,12.01,378.46,323.061
20201016,36679,32878,3801,11.56,377.055,321.863
20201017,32108,28021,4087,14.59,339.706,289.981
20201018,30516,26570,3946,14.85,314.197,268.205
20201019,35551,31046,4505,14.51,351.808,300.311
20201020,35876,31632,4244,13.42,362.755,309.655
20201021,35676,32367,3309,10.22,371.917,317.477
20201022,35543,31202,4341,13.91,361.32,308.43
20201023,33701,29698,4003,13.48,346.754,295.997
20201024,30683,26791,3892,14.53,319.174,272.453
20201025,30151,26126,4025,15.41,305.322,260.629
20201026,34595,31092,3503,11.27,349.126,298.021
20201027,35071,31669,3402,10.74,362.462,309.405
20201028,35429,31959,3470,10.86,365.469,311.972
20201029,34978,31271,3707,11.86,362.44,309.387
20201030,34479,30264,4215,13.93,351.492,300.041
20201031,30482,26763,3719,13.9,319.096,272.388
