日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),temp_high,temp_low
2021/2/23,33028,29919,3109,10.39,23,17
2021/2/24,33080,30031,3049,10.15,23,18
2021/2/25,33101,30072,3029,10.07,22,17
2021/2/26,32780,29739,3041,10.23,20,16
2021/2/27,29214,26456,2758,10.42,17,15
2021/2/28,27689,25017,2672,10.68,19,16
2021/3/1,29388,26556,2832,10.66,21,16
2021/3/2,32637,29416,3221,10.95,16,14
2021/3/3,32752,29677,3075,10.36,18,16
2021/3/4,32873,29785,3088,10.37,19,17
2021/3/5,33137,29869,3268,10.94,21,18
2021/3/6,29717,26912,2805,10.42,21,18
2021/3/7,28546,25794,2752,10.67,20,17
2021/3/8,32882,29772,3110,10.45,19,17
2021/3/9,32995,29947,3048,10.18,21,17
2021/3/10,32961,29906,3055,10.22,20,17
2021/3/11,33005,29928,3077,10.24,22,17
2021/3/12,33200,29928,3272,10.93,20,17
2021/3/13,29872,26797,3075,11.48,18,16
2021/3/14,28574,25641,2933,11.44,22,17
2021/3/15,33162,30088,3074,10.22,24,16
2021/3/16,33771,30684,3087,10.06,24,18
2021/3/17,33899,30716,3183,10.36,24,19
2021/3/18,33938,30724,3214,10.46,23,19
